CPU only time (ns): 1.07943e+10
PIM only time (ns): 1.92931e+10
Reuse offloading time (ns): 1.01985e+10 = CPU 9.49225e+09 + PIM 4.79617e+08 + REUSE 2.26618e+08 + SWITCH 8.78036e+08
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    294         C    4.59739e+06    7.15706e+06   -2.55967e+06  69a8a70d5af43509  ee20576f2b5d2eb2
    295         C    9.09478e+06    3.99087e+07   -3.08139e+07  69ce08786e80b879  2d946242457ee9ef
    296         C    7.69983e+07    3.08709e+07    4.61274e+07  6b0a6e1e358147b2  41fc684bead97d69
    297         C        1.66667            311       -309.333  6b6b1d9942173ca2  ad8536f4d71b82d3
    298         C    1.72138e+07    1.59954e+07     1.2184e+06  6b6b941610608d47  74ae0b510e4b7f54
    299         C        2717.66           6818       -4100.34  6bc2bcc2ffc7ac84  095efdb0e1f04780
    300         C       0.666666            140       -139.333  6bd8f5c4ab16cfac  933dc10feaa4753f
    301         C            325           9493          -9168  6be5b3219910fdee  5b582e5e961117ef
    302         C         979747    7.55131e+06   -6.57156e+06  6c6c419f16177447  c4b2627d9c2de54d
    303         C     2.8008e+07    2.09678e+07     7.0402e+06  6cbdab3fe6abff34  869b213461277cc7
    304         C        90290.2         199476        -109186  6d11bd58ae66b9bd  19a60e08def66e18
    305         P     5.2343e+06         587189    4.64711e+06  6dfb156dd95855e9  620184f34cd214f7
    306         C    5.66083e+06    8.93627e+06   -3.27544e+06  6dff8ba34261dd20  dc8f0b4d0f08875e
    307         C        574.666            856       -281.334  6e16c91eea048ff2  9a7555a87db2134a
