CPU only time (ns): 1.38924e+10
PIM only time (ns): 6.37545e+09
Reuse offloading time (ns): 6.37093e+09 = CPU 1.01293e+06 + PIM 6.36982e+09 + REUSE 103320 + SWITCH 38880
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    182         P        651.666            396        255.666  b8128cd88a1e6359  c5274c079e009fe4
    183         P    3.06302e+07       1.52e+07    1.54302e+07  b83d8ccd66b3d63b  8ff3b1af1fe2b3f9
    184         P        2360.66           6010       -3649.34  b87c6c613c0593c9  6db08d6de4efacbd
    185         P    1.70666e+06         800000         906660  b9e244d5319d8c7c  ae89322ea5606181
    186         C        35.3333            649       -613.667  ba09051a1054109d  5f0a9b9a4672d664
    187         P         653226         314004         339222  ba5663d3860723f0  41a9dd7f3837f3b4
    188         P        1983.33            605        1378.33  ba79bbcab87486c0  97862afefc9c44c5
    189         P        1137.67            220         917.67  ba8473672bd59dee  a255e755f58c4588
    190         C        1.66667            403       -401.333  bce257fd94746773  42289541121417f4
    191         C        3021.66          35350       -32328.3  be7e59928d49493f  5e15237b30f964d6
    192         C        1.33333             82       -80.6667  c0d9a4a746c415e3  db145e63fa94f97f
    193         P    3.82596e+06    2.09719e+06    1.72877e+06  c0eb1b64297df859  8b74ccb39e79f14e
    194         C        19.3333            206       -186.667  c2653699edb16e07  8bbf52ca653c2ec2
    195         P    4.24445e+07    2.94593e+07    1.29852e+07  c2d345b1069c9813  876a30122db9dfc1
    196         P        973.332            340        633.332  c3009950d32dd95e  f76edce3913861a9
    197         P         881159         578695         302464  c3a1ddfa6e2ba41d  f996059fb186c26c
    198         C        1440.33          19200       -17759.7  c3b9cbceb8fb6e4e  04fb6d9f90551292
    199         P    2.05114e+07    4.25224e+06    1.62592e+07  c4e62ba16e73ce32  67ae9e6042f108bd
    200         P        256.666             80        176.666  c5f082d87e79c43a  22b82add3f9419d4
    201         P    1.00931e+06         625324         383986  c6c06c84e7ff30d9  5e397daf9324d676
    202         C        1.66667            408       -406.333  c71bfdff8f93ab4b  5d36fe551dfbd7ff
    203         P    2.88465e+07    1.47721e+07    1.40744e+07  c744aefb852945e7  9232a683b32e6c78
    204         C        652.999           4505          -3852  c80a773574e1fc3e  395ade47e8d31d8d
    205         P     1.6431e+07    7.65851e+06    8.77249e+06  c890662f4b256be3  436a93b67a828a57
    206         P        1285.33            359         926.33  c9d32a271d2f0948  51c88c13eed85fea
    207         P        91929.9         152130       -60200.1  cb1c08d115d51273  9852daa0c829d00d
    208         P        2013.33            537        1476.33  cbeef24d14a39937  8946057e94f035c6
    209         P    1.61933e+08    7.83172e+07    8.36158e+07  cc666e7375eb2939  fbe710a834efe023
    210         P        84.9999            167       -82.0001  ce53e0c0f73da2f0  3e964f8220bd1149
    211         P     4.2122e+07    2.89672e+07    1.31548e+07  ce6177a3d5599788  412d2dc8ed4aa12d
    212         P    1.69303e+06         573862    1.11917e+06  ce8dbfaaca661e34  620b96c45d04aef2
    213         P    5.80576e+06       1.28e+06    4.52576e+06  d1fb03564e50df36  29911f0a8240f67c
    214         C        256.333           5932       -5675.67  d3399d1b7bc0e2d7  42acec07da702d3b
    215         C        4.66666              5       -0.33334  d3c8613f623afe59  dbc945a940195518
    216         P         812157         402214         409943  d46161d1268a80af  718e403a98cafe44
    217         P         524732         200000         324732  d6078e98b2874681  727cff56acf30d67
    218         C       0.999999            284           -283  d646ee9205e56323  418f8e6da6615afd
    219         P    1.87733e+07    9.03656e+06    9.73674e+06  d6611c60f89f68b4  32340def1711d295
    220         P    2.29189e+07      2.295e+06    2.06239e+07  d7e8d0eac1178cce  93eb4220350507c5
    221         P         314760         289034          25726  d810f0d101f23d2f  aca2ae13ece7dd2a
    222         P        1508.67            399        1109.67  d87b67606cca7ebb  7bed90016f7e0190
    223         P    2.95536e+06    1.11739e+06    1.83797e+06  d98ab3e07b180efb  2c17d0b1b8e47b91
    224         C        29.6666            158       -128.333  dbdad7d1b25a2cda  a96a1d7728bd0c78
    225         P        63.9999            151       -87.0001  ddb38c4cacfc3b38  dadf6f93d99e34ce
    226         P    4.61608e+07    3.32255e+07    1.29353e+07  ddda7ecf5a3be499  1947cfb1a933cb33
    227         P    1.63437e+07    4.67099e+06    1.16727e+07  de3095f680658967  6871803b23c0c8c8
    228         P    3.43529e+07    2.93415e+07     5.0114e+06  de7ca4c5cb81d57c  948f38ae52e0f7de
    229         P        315.333            208        107.333  df8f16454a48801c  03c469338bf00b26
    230         P        2520.66            800        1720.66  e0655efd17bae0f1  5e466ae6e352d5f0
    231         C        64.3333            636       -571.667  e49e1f8036495e08  e212cb1417ebf4b2
    232         P    5.26823e+08    1.59933e+08     3.6689e+08  e4ccb0365aad47f5  ea3041a049cbacfa
    233         P        64.6666             18        46.6666  e65122235bd8939b  dfd8383f891a5c61
    234         P    9.37264e+07    2.40697e+07    6.96567e+07  e694c4ecba27e402  73e09feaca79946e
    235         P        527.666            349        178.666  e6e28314a3a8902d  961e052b3038463b
    236         C        19.6666            270       -250.333  e8b68f0293a7071b  2736f571e1e9b929
